2020.01.26 23:27:17.324 | < W | 190a | 0001 | 41542b424f4e440d0a (AT+BOND  )
2020.01.26 23:27:24.257 | > N | 190a | 0002 | 41542b424f4e443a4f4b0d0a (AT+BOND:OK  )
2020.01.26 23:27:24.340 | < W | 190a | 0001 | 41542b4143540d0a (AT+ACT  )
2020.01.26 23:27:24.382 | > N | 190a | 0002 | 41542b4143543a310d0a (AT+ACT:1  )
2020.01.26 23:27:24.925 | < W | 190a | 0001 | 41542b544f504143453d300d0a (AT+TOPACE=0  )
2020.01.26 23:27:24.962 | > N | 190a | 0002 | 41542b544f504143453a323531330d0a (AT+TOPACE:2513  )
2020.01.26 23:27:25.022 | < W | 190a | 0001 | 41542b53594e3d310d0a (AT+SYN=1  )
2020.01.26 23:27:25.052 | > N | 190a | 0002 | 41542b53594e3a310d0a (AT+SYN:1  )
2020.01.26 23:27:25.120 | < W | 190a | 0001 | 41542b54494d455a4f4e450d0a (AT+TIMEZONE  )
2020.01.26 23:27:25.173 | > N | 190a | 0002 | 41542b54494d455a4f4e453a300d0a (AT+TIMEZONE:0  )
2020.01.26 23:27:25.266 | < W | 190a | 0001 | 41542b5354455053544f52450d0a (AT+STEPSTORE  )
2020.01.26 23:27:25.323 | > N | 190a | 0002 | 41542b5354455053544f52453a4f4b0d0a (AT+STEPSTORE:OK  )
2020.01.26 23:27:25.412 | < W | 190a | 0001 | 41542b444154413d300d0a (AT+DATA=0  )
2020.01.26 23:27:25.458 | > N | 190a | 0002 | 41542b444154413a302c3032342c3132302c3030 (AT+DATA:0,024,120,00)
2020.01.26 23:27:25.488 | > N | 190a | 0002 | 302c3030332c3030302c300d0a (0,003,000,0  )
2020.01.26 23:27:25.549 | > N | 190a | 0002 | 12f0a80d000012f0b0fd000012f0b186000012f0 (                    )
2020.01.26 23:27:25.563 | > N | 190a | 0002 | e3fb0000ffffffffffffffffffffffffffffffff (                    )
2020.01.26 23:27:25.593 | > N | 190a | 0002 | ffffffffffffffffffffffffffffffffffffffff (                    )
2020.01.26 23:27:25.612 | > N | 190a | 0002 | ffffffffffffffffffffffffffffffffffffffff (                    )
2020.01.26 23:27:25.624 | > N | 190a | 0002 | ffffffffffffffffffffffffffffffffffffffff (                    )
2020.01.26 23:27:25.644 | > N | 190a | 0002 | ffffffffffffffffffffffffffffffffffffffff (                    )
2020.01.26 23:27:25.705 | < W | 190a | 0001 | 41542b444154413d310d0a (AT+DATA=1  )
2020.01.26 23:27:25.761 | > N | 190a | 0002 | 41542b444154413a332c3036302c3132302c3030 (AT+DATA:3,060,120,00)
